image_path,label
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3669.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2908.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3118.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1921.jpg,Marble
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2670.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3629.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2299.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_908.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2200.jpg,Basalt
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3054.jpg,Granite
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_731.jpg,Marble
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_263.jpg,Marble
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1231.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2413.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1999.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1081.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1920.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3492.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2080.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_570.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3339.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_838.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2359.jpg,Marble
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2914.jpg,Marble
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1177.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1761.jpg,Basalt
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3839.jpg,Marble
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3462.jpg,Basalt
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1368.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1247.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1567.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3012.jpg,Marble
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_704.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3180.jpg,Marble
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3870.jpg,Marble
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3261.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2023.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3656.jpg,Basalt
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2913.jpg,Granite
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2418.jpg,Basalt
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3804.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1890.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3611.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3337.jpg,Marble
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_19.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_605.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_256.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2011.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_70.jpg,Granite
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2981.jpg,Marble
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3428.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1968.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3170.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1842.jpg,Marble
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1114.jpg,Basalt
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_476.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2728.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_703.jpg,Basalt
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_447.jpg,Granite
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_597.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2194.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3199.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3283.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2371.jpg,Marble
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1567.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3976.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1594.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3509.jpg,Marble
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_768.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2102.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3180.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1356.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_930.jpg,Marble
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_438.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3797.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1090.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3908.jpg,Marble
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2481.jpg,Marble
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3522.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2264.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_709.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2711.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_504.jpg,Granite
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3544.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3233.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_415.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3059.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3564.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3047.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3235.jpg,Marble
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3439.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1168.jpg,Marble
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_471.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1645.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_20.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2559.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3890.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3197.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3775.jpg,Marble
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3269.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1001.jpg,Marble
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_105.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1284.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_315.jpg,Granite
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_616.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_247.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1464.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_322.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1557.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_12.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2809.jpg,Basalt
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3773.jpg,Marble
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2716.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1505.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3828.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2974.jpg,Basalt
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2681.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2513.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2822.jpg,Marble
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2104.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2540.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_746.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2784.jpg,Granite
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2132.jpg,Granite
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_708.jpg,Marble
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_216.jpg,Marble
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3739.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1486.jpg,Marble
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2003.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1903.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1444.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2534.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1454.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1327.jpg,Marble
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1879.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1801.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_234.jpg,Marble
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3092.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3010.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3356.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3277.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1887.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_304.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2652.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3889.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_320.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3442.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3158.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1090.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1426.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_233.jpg,Marble
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3840.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_354.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2946.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1542.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2814.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2285.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2478.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2410.jpg,Marble
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2425.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_958.jpg,Marble
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2178.jpg,Marble
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_417.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2015.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1221.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2354.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3583.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2956.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3361.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_406.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3408.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1027.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2890.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2265.jpg,Marble
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3782.jpg,Granite
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3585.jpg,Marble
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1520.jpg,Basalt
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1427.jpg,Granite
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3565.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1648.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3042.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3493.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2891.jpg,Granite
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1354.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1098.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3473.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2683.jpg,Granite
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2272.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2552.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2405.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_91.jpg,Marble
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2968.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3522.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2323.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1105.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1380.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2461.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2338.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1251.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3429.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3399.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3724.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3549.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2308.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3629.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2925.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_629.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1168.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_282.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3707.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3648.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3846.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2477.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2155.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2622.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2752.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2156.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1842.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1763.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_173.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_935.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3785.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3144.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2328.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1227.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3627.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1778.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3521.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3783.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2740.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1675.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1279.jpg,Basalt
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1803.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1789.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1873.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3878.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1473.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_241.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2124.jpg,Marble
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2964.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_551.jpg,Red sandstone
